GEOID,GEO_ID,NAME,,B14006_003E,B14006_013E,TotalEnrolledInSchool,PercentageofPoverty
Geoid,Geography,Geographic Area Name,,Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:,Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:,TotalEnrolledInSchool,PercentageofPoverty
37001,0500000US37001,"Alamance County, North Carolina",,7958,30946,38904,0.257157629
37003,0500000US37003,"Alexander County, North Carolina",,1206,6247,7453,0.193052665
37005,0500000US37005,"Alleghany County, North Carolina",,698,1235,1933,0.565182186
37007,0500000US37007,"Anson County, North Carolina",,1139,3557,4696,0.320213663
37009,0500000US37009,"Ashe County, North Carolina",,923,3601,4524,0.25631769
37011,0500000US37011,"Avery County, North Carolina",,362,1960,2322,0.184693878
37013,0500000US37013,"Beaufort County, North Carolina",,2152,6217,8369,0.34614766
37015,0500000US37015,"Bertie County, North Carolina",,976,2271,3247,0.429766623
37017,0500000US37017,"Bladen County, North Carolina",,1991,3970,5961,0.501511335
37019,0500000US37019,"Brunswick County, North Carolina",,2946,17483,20429,0.168506549
37021,0500000US37021,"Buncombe County, North Carolina",,7619,42981,50600,0.177264373
37023,0500000US37023,"Burke County, North Carolina",,4166,12236,16402,0.340470742
37025,0500000US37025,"Cabarrus County, North Carolina",,7453,49817,57270,0.149607564
37027,0500000US37027,"Caldwell County, North Carolina",,2707,13033,15740,0.207703522
37029,0500000US37029,"Camden County, North Carolina",,190,2429,2619,0.07822149
37031,0500000US37031,"Carteret County, North Carolina",,1554,10889,12443,0.142712829
37033,0500000US37033,"Caswell County, North Carolina",,998,3093,4091,0.32266408
37035,0500000US37035,"Catawba County, North Carolina",,5981,28615,34596,0.20901625
37037,0500000US37037,"Chatham County, North Carolina",,1877,13303,15180,0.141095993
37039,0500000US37039,"Cherokee County, North Carolina",,949,3399,4348,0.279199765
37041,0500000US37041,"Chowan County, North Carolina",,938,1790,2728,0.524022346
37043,0500000US37043,"Clay County, North Carolina",,180,1758,1938,0.102389078
37045,0500000US37045,"Cleveland County, North Carolina",,5070,15912,20982,0.318627451
37047,0500000US37047,"Columbus County, North Carolina",,2408,7398,9806,0.325493377
37049,0500000US37049,"Craven County, North Carolina",,4342,17581,21923,0.246971162
37051,0500000US37051,"Cumberland County, North Carolina",,18546,69681,88227,0.266155767
37053,0500000US37053,"Currituck County, North Carolina",,728,5566,6294,0.130794107
37055,0500000US37055,"Dare County, North Carolina",,678,6484,7162,0.104565083
37057,0500000US37057,"Davidson County, North Carolina",,7426,29173,36599,0.25455044
37059,0500000US37059,"Davie County, North Carolina",,1575,7652,9227,0.205828542
37061,0500000US37061,"Duplin County, North Carolina",,3360,8504,11864,0.395108184
37063,0500000US37063,"Durham County, North Carolina",,14963,57968,72931,0.258125173
37065,0500000US37065,"Edgecombe County, North Carolina",,3048,7395,10443,0.412170385
37067,0500000US37067,"Forsyth County, North Carolina",,20438,68386,88824,0.29886234
37069,0500000US37069,"Franklin County, North Carolina",,2157,12284,14441,0.175594269
37071,0500000US37071,"Gaston County, North Carolina",,7116,41800,48916,0.170239234
37073,0500000US37073,"Gates County, North Carolina",,324,1780,2104,0.182022472
37075,0500000US37075,"Graham County, North Carolina",,240,1329,1569,0.180586907
37077,0500000US37077,"Granville County, North Carolina",,2970,9953,12923,0.298402492
37079,0500000US37079,"Greene County, North Carolina",,1292,2856,4148,0.452380952
37081,0500000US37081,"Guilford County, North Carolina",,26191,103834,130025,0.252239151
37083,0500000US37083,"Halifax County, North Carolina",,3283,6424,9707,0.511052304
37085,0500000US37085,"Harnett County, North Carolina",,6814,28177,34991,0.241828442
37087,0500000US37087,"Haywood County, North Carolina",,2159,9148,11307,0.236007871
37089,0500000US37089,"Henderson County, North Carolina",,2913,19250,22163,0.151324675
37091,0500000US37091,"Hertford County, North Carolina",,1108,2935,4043,0.377512777
37093,0500000US37093,"Hoke County, North Carolina",,2848,12071,14919,0.235937371
37095,0500000US37095,"Hyde County, North Carolina",,308,425,733,0.724705882
37097,0500000US37097,"Iredell County, North Carolina",,5473,36209,41682,0.151150267
37099,0500000US37099,"Jackson County, North Carolina",,3567,6009,9576,0.593609586
37101,0500000US37101,"Johnston County, North Carolina",,8372,45200,53572,0.185221239
37103,0500000US37103,"Jones County, North Carolina",,365,1458,1823,0.250342936
37105,0500000US37105,"Lee County, North Carolina",,2693,11987,14680,0.224660048
37107,0500000US37107,"Lenoir County, North Carolina",,3900,8175,12075,0.47706422
37109,0500000US37109,"Lincoln County, North Carolina",,2048,15504,17552,0.132094943
37111,0500000US37111,"McDowell County, North Carolina",,1330,6977,8307,0.190626344
37113,0500000US37113,"Macon County, North Carolina",,1438,4927,6365,0.291861173
37115,0500000US37115,"Madison County, North Carolina",,678,3377,4055,0.200769914
37117,0500000US37117,"Martin County, North Carolina",,1319,3011,4330,0.438060445
37119,0500000US37119,"Mecklenburg County, North Carolina",,39836,221088,260924,0.180181647
37121,0500000US37121,"Mitchell County, North Carolina",,254,2527,2781,0.100514444
37123,0500000US37123,"Montgomery County, North Carolina",,1125,4252,5377,0.264581373
37125,0500000US37125,"Moore County, North Carolina",,2722,18541,21263,0.146809773
37127,0500000US37127,"Nash County, North Carolina",,3627,17547,21174,0.206702
37129,0500000US37129,"New Hanover County, North Carolina",,11987,38419,50406,0.31200708
37131,0500000US37131,"Northampton County, North Carolina",,1052,2110,3162,0.498578199
37133,0500000US37133,"Onslow County, North Carolina",,6755,41493,48248,0.162798544
37135,0500000US37135,"Orange County, North Carolina",,9697,32389,42086,0.299391769
37137,0500000US37137,"Pamlico County, North Carolina",,384,1530,1914,0.250980392
37139,0500000US37139,"Pasquotank County, North Carolina",,1457,6893,8350,0.211373858
37141,0500000US37141,"Pender County, North Carolina",,2326,11366,13692,0.204645434
37143,0500000US37143,"Perquimans County, North Carolina",,375,2151,2526,0.174337517
37145,0500000US37145,"Person County, North Carolina",,2331,6251,8582,0.372900336
37147,0500000US37147,"Pitt County, North Carolina",,16470,33826,50296,0.486903565
37149,0500000US37149,"Polk County, North Carolina",,291,2772,3063,0.104978355
37151,0500000US37151,"Randolph County, North Carolina",,5940,25255,31195,0.23520095
37153,0500000US37153,"Richmond County, North Carolina",,3409,6897,10306,0.494272872
37155,0500000US37155,"Robeson County, North Carolina",,9957,18485,28442,0.538652962
37157,0500000US37157,"Rockingham County, North Carolina",,4724,13987,18711,0.337742189
37159,0500000US37159,"Rowan County, North Carolina",,6902,26348,33250,0.261955367
37161,0500000US37161,"Rutherford County, North Carolina",,3015,9676,12691,0.311595701
37163,0500000US37163,"Sampson County, North Carolina",,4417,9311,13728,0.474385136
37165,0500000US37165,"Scotland County, North Carolina",,2380,4732,7112,0.50295858
37167,0500000US37167,"Stanly County, North Carolina",,2325,10790,13115,0.215477294
37169,0500000US37169,"Stokes County, North Carolina",,1650,6334,7984,0.260498895
37171,0500000US37171,"Surry County, North Carolina",,2670,12091,14761,0.220825407
37173,0500000US37173,"Swain County, North Carolina",,670,2373,3043,0.282343026
37175,0500000US37175,"Transylvania County, North Carolina",,1018,4228,5246,0.240775781
37177,0500000US37177,"Tyrrell County, North Carolina",,182,376,558,0.484042553
37179,0500000US37179,"Union County, North Carolina",,5881,59263,65144,0.099235611
37181,0500000US37181,"Vance County, North Carolina",,2364,7497,9861,0.31532613
37183,0500000US37183,"Wake County, North Carolina",,35358,247987,283345,0.142580055
37185,0500000US37185,"Warren County, North Carolina",,1047,2519,3566,0.415641127
37187,0500000US37187,"Washington County, North Carolina",,707,1820,2527,0.388461538
37189,0500000US37189,"Watauga County, North Carolina",,7329,7589,14918,0.965739887
37191,0500000US37191,"Wayne County, North Carolina",,7279,20502,27781,0.355038533
37193,0500000US37193,"Wilkes County, North Carolina",,2901,9992,12893,0.290332266
37195,0500000US37195,"Wilson County, North Carolina",,4244,14305,18549,0.296679483
37197,0500000US37197,"Yadkin County, North Carolina",,1633,5701,7334,0.286440975
37199,0500000US37199,"Yancey County, North Carolina",,554,2607,3161,0.212504795
