GEO_ID,GEOID,NAME,S1501_C01_006E,S1501_C01_015E,Ratio
Geography,GEOID,Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Ratio
0500000US48001,48001,"Anderson County, Texas",42073,4464,0.000246201
0500000US48003,48003,"Andrews County, Texas",10700,1306,7.20291E-05
0500000US48005,48005,"Angelina County, Texas",57275,9694,0.000534648
0500000US48007,48007,"Aransas County, Texas",17878,3911,0.000215701
0500000US48009,48009,"Archer County, Texas",6137,1467,8.09087E-05
0500000US48011,48011,"Armstrong County, Texas",1400,319,1.75936E-05
0500000US48013,48013,"Atascosa County, Texas",31431,4533,0.000250006
0500000US48015,48015,"Austin County, Texas",20235,4839,0.000266883
0500000US48017,48017,"Bailey County, Texas",4269,735,4.05371E-05
0500000US48019,48019,"Bandera County, Texas",16904,3857,0.000212723
0500000US48021,48021,"Bastrop County, Texas",55546,11485,0.000633426
0500000US48023,48023,"Baylor County, Texas",2534,579,3.19333E-05
0500000US48025,48025,"Bee County, Texas",22009,1966,0.00010843
0500000US48027,48027,"Bell County, Texas",211519,53200,0.002934111
0500000US48029,48029,"Bexar County, Texas",1247428,349451,0.019273086
0500000US48031,48031,"Blanco County, Texas",8650,2290,0.000126299
0500000US48033,48033,"Borden County, Texas",418,165,9.10016E-06
0500000US48035,48035,"Bosque County, Texas",13106,2595,0.000143121
0500000US48037,48037,"Bowie County, Texas",63248,13041,0.000719243
0500000US48039,48039,"Brazoria County, Texas",235400,70694,0.003898949
0500000US48041,48041,"Brazos County, Texas",118579,49439,0.002726683
0500000US48043,48043,"Brewster County, Texas",6810,2722,0.000150125
0500000US48045,48045,"Briscoe County, Texas",1048,207,1.14166E-05
0500000US48047,48047,"Brooks County, Texas",4047,635,3.50218E-05
0500000US48049,48049,"Brown County, Texas",26066,4991,0.000275266
0500000US48051,48051,"Burleson County, Texas",12622,2181,0.000120288
0500000US48053,48053,"Burnet County, Texas",32637,8287,0.000457049
0500000US48055,48055,"Caldwell County, Texas",27299,3995,0.000220334
0500000US48057,48057,"Calhoun County, Texas",14380,2043,0.000112676
0500000US48059,48059,"Callahan County, Texas",9839,2070,0.000114166
0500000US48061,48061,"Cameron County, Texas",246971,42787,0.002359809
0500000US48063,48063,"Camp County, Texas",8448,1636,9.02294E-05
0500000US48065,48065,"Carson County, Texas",4118,1171,6.45835E-05
0500000US48067,48067,"Cass County, Texas",21061,3444,0.000189945
0500000US48069,48069,"Castro County, Texas",4661,727,4.00958E-05
0500000US48071,48071,"Chambers County, Texas",26117,5941,0.000327661
0500000US48073,48073,"Cherokee County, Texas",33977,5835,0.000321815
0500000US48075,48075,"Childress County, Texas",5178,945,5.21191E-05
0500000US48077,48077,"Clay County, Texas",7558,1615,8.90712E-05
0500000US48079,48079,"Cochran County, Texas",1881,151,8.32802E-06
0500000US48081,48081,"Coke County, Texas",2502,446,2.4598E-05
0500000US48083,48083,"Coleman County, Texas",6147,970,5.34979E-05
0500000US48085,48085,"Collin County, Texas",638328,334153,0.018429364
0500000US48087,48087,"Collingsworth County, Texas",1966,398,2.19507E-05
0500000US48089,48089,"Colorado County, Texas",14338,3008,0.000165899
0500000US48091,48091,"Comal County, Texas",98736,36365,0.00200562
0500000US48093,48093,"Comanche County, Texas",9571,1945,0.000107272
0500000US48095,48095,"Concho County, Texas",2626,342,1.88621E-05
0500000US48097,48097,"Cooke County, Texas",27025,5639,0.000311005
0500000US48099,48099,"Coryell County, Texas",47776,7681,0.000423626
0500000US48101,48101,"Cottle County, Texas",1067,179,9.87229E-06
0500000US48103,48103,"Crane County, Texas",2902,427,2.35501E-05
0500000US48105,48105,"Crockett County, Texas",2370,332,1.83106E-05
0500000US48107,48107,"Crosby County, Texas",3747,493,2.71902E-05
0500000US48109,48109,"Culberson County, Texas",1425,146,8.05226E-06
0500000US48111,48111,"Dallam County, Texas",4511,712,3.92686E-05
0500000US48113,48113,"Dallas County, Texas",1669564,525525,0.028984002
0500000US48115,48115,"Dawson County, Texas",8084,1151,6.34805E-05
0500000US48117,48117,"Deaf Smith County, Texas",10999,1318,7.2691E-05
0500000US48119,48119,"Delta County, Texas",3603,905,4.9913E-05
0500000US48121,48121,"Denton County, Texas",547409,246869,0.013615435
0500000US48123,48123,"DeWitt County, Texas",14385,1811,9.98811E-05
0500000US48125,48125,"Dickens County, Texas",1639,303,1.67112E-05
0500000US48127,48127,"Dimmit County, Texas",6468,877,4.83687E-05
0500000US48129,48129,"Donley County, Texas",2194,392,2.16198E-05
0500000US48131,48131,"Duval County, Texas",7094,639,3.52424E-05
0500000US48133,48133,"Eastland County, Texas",12485,1997,0.000110139
0500000US48135,48135,"Ector County, Texas",95420,14687,0.000810024
0500000US48137,48137,"Edwards County, Texas",1465,266,1.46706E-05
0500000US48139,48139,"Ellis County, Texas",111737,27193,0.001499761
0500000US48141,48141,"El Paso County, Texas",510680,119062,0.006566563
0500000US48143,48143,"Erath County, Texas",24233,7625,0.000420538
0500000US48145,48145,"Falls County, Texas",12209,1519,8.37766E-05
0500000US48147,48147,"Fannin County, Texas",24275,4224,0.000232964
0500000US48149,48149,"Fayette County, Texas",18267,3597,0.000198383
0500000US48151,48151,"Fisher County, Texas",2677,499,2.75211E-05
0500000US48153,48153,"Floyd County, Texas",3770,600,3.30915E-05
0500000US48155,48155,"Foard County, Texas",937,152,8.38318E-06
0500000US48157,48157,"Fort Bend County, Texas",490211,226577,0.012496281
0500000US48159,48159,"Franklin County, Texas",7289,1938,0.000106885
0500000US48161,48161,"Freestone County, Texas",13915,2126,0.000117254
0500000US48163,48163,"Frio County, Texas",12449,907,5.00233E-05
0500000US48165,48165,"Gaines County, Texas",11319,1295,7.14224E-05
0500000US48167,48167,"Galveston County, Texas",223167,69437,0.003829622
0500000US48169,48169,"Garza County, Texas",4509,626,3.45254E-05
0500000US48171,48171,"Gillespie County, Texas",19327,6229,0.000343545
0500000US48173,48173,"Glasscock County, Texas",887,241,1.32917E-05
0500000US48175,48175,"Goliad County, Texas",5315,918,5.063E-05
0500000US48177,48177,"Gonzales County, Texas",13376,1748,9.64065E-05
0500000US48179,48179,"Gray County, Texas",14794,2058,0.000113504
0500000US48181,48181,"Grayson County, Texas",88311,18048,0.000995392
0500000US48183,48183,"Gregg County, Texas",79821,17008,0.000938033
0500000US48185,48185,"Grimes County, Texas",19186,3019,0.000166505
0500000US48187,48187,"Guadalupe County, Texas",104489,29451,0.001624295
0500000US48189,48189,"Hale County, Texas",20884,3578,0.000197336
0500000US48191,48191,"Hall County, Texas",2080,331,1.82555E-05
0500000US48193,48193,"Hamilton County, Texas",5923,1329,7.32976E-05
0500000US48195,48195,"Hansford County, Texas",3373,511,2.81829E-05
0500000US48197,48197,"Hardeman County, Texas",2765,378,2.08476E-05
0500000US48199,48199,"Hardin County, Texas",38280,6446,0.000355513
0500000US48201,48201,"Harris County, Texas",2963957,932169,0.051411423
0500000US48203,48203,"Harrison County, Texas",43881,8374,0.000461847
0500000US48205,48205,"Hartley County, Texas",4273,762,4.20262E-05
0500000US48207,48207,"Haskell County, Texas",4008,476,2.62526E-05
0500000US48209,48209,"Hays County, Texas",127858,47623,0.002626526
0500000US48211,48211,"Hemphill County, Texas",2428,515,2.84035E-05
0500000US48213,48213,"Henderson County, Texas",57241,9926,0.000547443
0500000US48215,48215,"Hidalgo County, Texas",479260,89652,0.004944529
0500000US48217,48217,"Hill County, Texas",24415,4239,0.000233791
0500000US48219,48219,"Hockley County, Texas",14392,2277,0.000125582
0500000US48221,48221,"Hood County, Texas",42070,11109,0.000612689
0500000US48223,48223,"Hopkins County, Texas",24497,4917,0.000271185
0500000US48225,48225,"Houston County, Texas",16645,2535,0.000139812
0500000US48227,48227,"Howard County, Texas",24691,3117,0.00017191
0500000US48229,48229,"Hudspeth County, Texas",2936,314,1.73179E-05
0500000US48231,48231,"Hunt County, Texas",62076,12356,0.000681464
0500000US48233,48233,"Hutchinson County, Texas",13977,1959,0.000108044
0500000US48235,48235,"Irion County, Texas",1039,156,8.60379E-06
0500000US48237,48237,"Jack County, Texas",6066,817,4.50596E-05
0500000US48239,48239,"Jackson County, Texas",9862,1632,9.00088E-05
0500000US48241,48241,"Jasper County, Texas",24038,3106,0.000171304
0500000US48243,48243,"Jeff Davis County, Texas",1698,518,2.8569E-05
0500000US48245,48245,"Jefferson County, Texas",169034,33216,0.001831944
0500000US48247,48247,"Jim Hogg County, Texas",3037,408,2.25022E-05
0500000US48249,48249,"Jim Wells County, Texas",25700,3131,0.000172682
0500000US48251,48251,"Johnson County, Texas",109104,20431,0.00112682
0500000US48253,48253,"Jones County, Texas",14710,1724,9.50829E-05
0500000US48255,48255,"Karnes County, Texas",10693,1640,9.04501E-05
0500000US48257,48257,"Kaufman County, Texas",79429,16305,0.000899261
0500000US48259,48259,"Kendall County, Texas",29910,12590,0.00069437
0500000US48261,48261,"Kenedy County, Texas",382,4,2.2061E-07
0500000US48263,48263,"Kent County, Texas",472,120,6.6183E-06
0500000US48265,48265,"Kerr County, Texas",37607,10289,0.000567464
0500000US48267,48267,"Kimble County, Texas",3214,722,3.98201E-05
0500000US48269,48269,"King County, Texas",158,33,1.82003E-06
0500000US48271,48271,"Kinney County, Texas",2957,359,1.97997E-05
0500000US48273,48273,"Kleberg County, Texas",17183,4228,0.000233185
0500000US48275,48275,"Knox County, Texas",2398,482,2.65835E-05
0500000US48277,48277,"Lamar County, Texas",33821,6319,0.000348508
0500000US48279,48279,"Lamb County, Texas",8329,1196,6.59624E-05
0500000US48281,48281,"Lampasas County, Texas",14700,2925,0.000161321
0500000US48283,48283,"La Salle County, Texas",5233,392,2.16198E-05
0500000US48285,48285,"Lavaca County, Texas",13782,2295,0.000126575
0500000US48287,48287,"Lee County, Texas",11592,1696,9.35386E-05
0500000US48289,48289,"Leon County, Texas",11969,1681,9.27113E-05
