Facility Name,Latitude (degrees),Longitude (degrees),2022 CO2 Emissions (tons)
23rd and 3rd,40.663,-74,75440
48th Street Peaking Station,42.7553,-86.0853,60554
74th Street,40.768,-73.9515,222313
A B Brown Generating Station,37.9053,-87.715,3602013
AES Alamitos,33.7688,-118.1009,1935817
AES Huntington Beach,33.6436,-117.9788,1692619
AES Redondo Beach,33.8504,-118.395,217827
AES Warrior Run,39.5944,-78.7456,1537259
AL Sandersville Energy Facility,33.1189,-82.8608,114946
AMEA Sylacauga Plant,33.1661,-86.2825,60630
AMP-Ohio Gas Turbines Bowling Green,41.3989,-83.6411,931
AMP-Ohio Gas Turbines Galion,40.7167,-82.789,786
AMP-Ohio Gas Turbines Napoleon,41.4077,-84.1092,980
APS Saguaro Power Plant,32.5517,-111.3,48567
APS West Phoenix Power Plant,33.4417,-112.1583,852722
Aberdeen Generating Station,45.4287,-98.4932,37714
Acadia Power Station,30.4284,-92.4112,2251893
Ackerman Combined Cycle Plant,33.3806,-89.2039,1780488
Afton Generating Station,32.1134,-106.848,401251
Agua Fria Generating Station,33.5542,-112.2161,88629
Agua Mansa Power,34.0414,-117.3603,8593
Air Liquide Bayport Complex,29.6225,-95.0458,1910220
Albany Green Energy LLC,31.5492,-84.1114,762272
Alcoa Allowance Management Inc,37.915,-87.3328,5535848
Alfred L Pierce Generating Station,41.4485,-72.834,2353
Algonquin Power Sanger,36.72,-119.55,77826
Allegany Station No. 133,42.5083,-78.0661,21281
Allen,35.0742,-90.1439,2108289
Allen S King,45.03,-92.7786,1383768
Almond Power Plant,37.5739,-120.9854,181000
Alpine Power Plant,45.0624,-84.8261,575261
Alsey Station,39.5697,-90.4362,30352
Altavista Power Station,37.1183,-79.2726,553252
Ames,42.0247,-93.6069,271246
Anadarko,35.0847,-98.23,150982
Anclote,28.1844,-82.7887,1492957
Anderson,40.0529,-85.7389,31463
Androscoggin Energy,44.5047,-70.2403,314284
Angus Anson,43.6033,-96.6369,87388
Antelope Elk Energy Center,33.8657,-101.8437,429653
Antelope Valley,47.3714,-101.8344,7187929
Apache Station,32.0619,-109.8931,1861522
Apex Generating Station,36.4178,-114.9622,1098604
Arapahoe Combustion Turbine Facility,39.6692,-105.0018,124049
Arlington Valley Energy Facility,33.3417,-112.8897,1178852
"Armstrong Power, LLC",40.6383,-79.3503,812920
Arsenal Hill Power Plant,32.5181,-93.7611,1353724
Arthur Kill,40.5915,-74.2027,647470
Arvah B Hopkins,30.4522,-84.4,654883
Asheville,35.4714,-82.5431,1754664
Astoria Energy,40.7825,-73.8964,3207104
Astoria Gas Turbine Power,40.7864,-73.9133,43646
Astoria Generating Station,40.7869,-73.9122,601656
Astoria Station,44.5812,-96.565,110071
Athens Generating Company,42.2728,-73.8492,1684729
Attala Generating Plant,33.0142,-89.6758,1414334
Audrain Power Plant,39.3092,-91.5369,173054
Aurora,41.8151,-88.2265,209761
Avon Lake Power Plant,41.5042,-82.05,472375
Bacliff Generating Station,29.4922,-94.9844,106351
Baconton Power,31.3869,-84.0819,88114
Badger Creek Limited,35.4837,-119.0299,18201
Baldwin Energy Complex,38.205,-89.855,6583249
Barney M. Davis,27.6067,-97.3119,682130
Barre Generating Station,33.8073,-117.9833,14103
Barry,31.0069,-88.0103,7588387
Bastrop Clean Energy Center,30.1458,-97.55,1218141
Batavia Energy,42.9828,-78.1592,1346
Batesville Generation Facility,34.3345,-89.9272,1829450
Baxter Wilson,32.2831,-90.9306,202458
Bay Front,46.5869,-90.9017,302081
Bay Shore,41.6925,-83.4375,1285518
